NAME	Name	freq	 cum_freq	rank
MAYNARD	Maynard	0.01	86.829	672
SCOT	Scot	0.01	86.84	673
VINCE	Vince	0.01	86.85	674
QUINCY	Quincy	0.01	86.86	675
EDDY	Eddy	0.01	86.87	676
SEBASTIAN	Sebastian	0.01	86.88	677
FEDERICO	Federico	0.01	86.89	678
ULYSSES	Ulysses	0.01	86.9	679
HERIBERTO	Heriberto	0.01	86.91	680
DONNELL	Donnell	0.01	86.92	681
COLE	Cole	0.01	86.929	682
DENNY	Denny	0.01	86.939	683
DAVIS	Davis	0.01	86.949	684
GAVIN	Gavin	0.01	86.959	685
EMERY	Emery	0.01	86.969	686
WARD	Ward	0.01	86.979	687
ROMEO	Romeo	0.01	86.989	688
JAYSON	Jayson	0.01	86.998	689
DION	Dion	0.01	87.008	690
DANTE	Dante	0.01	87.018	691
CLEMENT	Clement	0.01	87.028	692
COY	Coy	0.01	87.037	693
ODELL	Odell	0.01	87.047	694
MAXWELL	Maxwell	0.01	87.057	695
JARVIS	Jarvis	0.01	87.066	696
BRUNO	Bruno	0.01	87.076	697
ISSAC	Issac	0.01	87.086	698
MARY	Mary	0.009	87.095	699
DUDLEY	Dudley	0.009	87.104	700
BROCK	Brock	0.009	87.114	701
SANFORD	Sanford	0.009	87.123	702
COLBY	Colby	0.009	87.133	703
CARMELO	Carmelo	0.009	87.142	704
BARNEY	Barney	0.009	87.152	705
NESTOR	Nestor	0.009	87.161	706
HOLLIS	Hollis	0.009	87.17	707
STEFAN	Stefan	0.009	87.18	708
DONNY	Donny	0.009	87.189	709
ART	Art	0.009	87.198	710
LINWOOD	Linwood	0.009	87.208	711
BEAU	Beau	0.009	87.217	712
WELDON	Weldon	0.009	87.226	713
GALEN	Galen	0.009	87.235	714
ISIDRO	Isidro	0.009	87.244	715
TRUMAN	Truman	0.009	87.253	716
DELMAR	Delmar	0.009	87.262	717
JOHNATHON	Johnathon	0.009	87.271	718
SILAS	Silas	0.009	87.28	719
FREDERIC	Frederic	0.009	87.289	720
DICK	Dick	0.009	87.298	721
KIRBY	Kirby	0.009	87.307	722
IRWIN	Irwin	0.009	87.316	723
CRUZ	Cruz	0.009	87.325	724
MERLIN	Merlin	0.009	87.334	725
MERRILL	Merrill	0.009	87.343	726
CHARLEY	Charley	0.009	87.351	727
MARCELINO	Marcelino	0.009	87.36	728
LANE	Lane	0.009	87.369	729
HARRIS	Harris	0.009	87.378	730
CLEO	Cleo	0.009	87.386	731
CARLO	Carlo	0.009	87.395	732
TRENTON	Trenton	0.009	87.404	733
KURTIS	Kurtis	0.009	87.413	734
HUNTER	Hunter	0.009	87.421	735
AURELIO	Aurelio	0.009	87.43	736
WINFRED	Winfred	0.009	87.438	737
VITO	Vito	0.009	87.447	738
COLLIN	Collin	0.009	87.456	739
DENVER	Denver	0.009	87.464	740
CARTER	Carter	0.009	87.473	741
LEONEL	Leonel	0.008	87.481	742
EMORY	Emory	0.008	87.49	743
PASQUALE	Pasquale	0.008	87.498	744
MOHAMMAD	Mohammad	0.008	87.506	745
MARIANO	Mariano	0.008	87.514	746
DANIAL	Danial	0.008	87.523	747
BLAIR	Blair	0.008	87.531	748
LANDON	Landon	0.008	87.539	749
DIRK	Dirk	0.008	87.548	750
BRANDEN	Branden	0.008	87.556	751
ADAN	Adan	0.008	87.564	752
NUMBERS	Numbers	0.008	87.572	753
CLAIR	Clair	0.008	87.581	754
BUFORD	Buford	0.008	87.589	755
GERMAN	German	0.008	87.597	756
BERNIE	Bernie	0.008	87.605	757
WILMER	Wilmer	0.008	87.613	758
JOAN	Joan	0.008	87.621	759
EMERSON	Emerson	0.008	87.629	760
ZACHERY	Zachery	0.008	87.637	761
FLETCHER	Fletcher	0.008	87.645	762
JACQUES	Jacques	0.008	87.653	763
ERROL	Errol	0.008	87.661	764
DALTON	Dalton	0.008	87.669	765
MONROE	Monroe	0.008	87.676	766
JOSUE	Josue	0.008	87.684	767
DOMINIQUE	Dominique	0.008	87.692	768
EDWARDO	Edwardo	0.008	87.7	769
BOOKER	Booker	0.008	87.708	770
WILFORD	Wilford	0.008	87.715	771
SONNY	Sonny	0.008	87.723	772
SHELTON	Shelton	0.008	87.731	773
CARSON	Carson	0.008	87.739	774
THERON	Theron	0.008	87.746	775
RAYMUNDO	Raymundo	0.008	87.754	776
DAREN	Daren	0.008	87.762	777
TRISTAN	Tristan	0.008	87.769	778
HOUSTON	Houston	0.008	87.777	779
ROBBY	Robby	0.008	87.785	780
LINCOLN	Lincoln	0.008	87.792	781
JAME	Jame	0.008	87.8	782
GENARO	Genaro	0.008	87.807	783
GALE	Gale	0.008	87.815	784
BENNETT	Bennett	0.008	87.822	785
OCTAVIO	Octavio	0.008	87.83	786
CORNELL	Cornell	0.008	87.838	787
LAVERNE	Laverne	0.008	87.845	788
HUNG	Hung	0.008	87.853	789
ARRON	Arron	0.008	87.86	790
ANTONY	Antony	0.008	87.868	791
HERSCHEL	Herschel	0.007	87.875	792
ALVA	Alva	0.007	87.883	793
GIOVANNI	Giovanni	0.007	87.89	794
GARTH	Garth	0.007	87.897	795
CYRUS	Cyrus	0.007	87.905	796
CYRIL	Cyril	0.007	87.912	797
RONNY	Ronny	0.007	87.92	798
STEVIE	Stevie	0.007	87.927	799
LON	Lon	0.007	87.934	800
FREEMAN	Freeman	0.007	87.941	801
ERIN	Erin	0.007	87.949	802
DUNCAN	Duncan	0.007	87.956	803
KENNITH	Kennith	0.007	87.963	804
CARMINE	Carmine	0.007	87.97	805
AUGUSTINE	Augustine	0.007	87.978	806
YOUNG	Young	0.007	87.985	807
ERICH	Erich	0.007	87.992	808
CHADWICK	Chadwick	0.007	87.999	809
WILBURN	Wilburn	0.007	88.006	810
RUSS	Russ	0.007	88.013	811
REID	Reid	0.007	88.021	812
MYLES	Myles	0.007	88.028	813
ANDERSON	Anderson	0.007	88.035	814
MORTON	Morton	0.007	88.042	815
JONAS	Jonas	0.007	88.049	816
FOREST	Forest	0.007	88.056	817
MITCHEL	Mitchel	0.007	88.063	818
MERVIN	Mervin	0.007	88.07	819
ZANE	Zane	0.007	88.077	820
RICH	Rich	0.007	88.084	821
JAMEL	Jamel	0.007	88.091	822
LAZARO	Lazaro	0.007	88.098	823
ALPHONSE	Alphonse	0.007	88.105	824
RANDELL	Randell	0.007	88.112	825
MAJOR	Major	0.007	88.119	826
JOHNIE	Johnie	0.007	88.126	827
JARRETT	Jarrett	0.007	88.133	828
BROOKS	Brooks	0.007	88.14	829
ARIEL	Ariel	0.007	88.147	830
ABDUL	Abdul	0.007	88.154	831
DUSTY	Dusty	0.007	88.161	832
LUCIANO	Luciano	0.007	88.168	833
LINDSEY	Lindsey	0.007	88.174	834
TRACEY	Tracey	0.007	88.181	835
SEYMOUR	Seymour	0.007	88.188	836
SCOTTIE	Scottie	0.007	88.195	837
EUGENIO	Eugenio	0.007	88.202	838
MOHAMMED	Mohammed	0.007	88.208	839
SANDY	Sandy	0.007	88.215	840
VALENTIN	Valentin	0.007	88.222	841
CHANCE	Chance	0.007	88.228	842
ARNULFO	Arnulfo	0.007	88.235	843
LUCIEN	Lucien	0.007	88.242	844
FERDINAND	Ferdinand	0.007	88.248	845
THAD	Thad	0.007	88.255	846
EZRA	Ezra	0.007	88.262	847
SYDNEY	Sydney	0.007	88.268	848
ALDO	Aldo	0.007	88.275	849
RUBIN	Rubin	0.006	88.281	850
ROYAL	Royal	0.006	88.288	851
MITCH	Mitch	0.006	88.294	852
EARLE	Earle	0.006	88.301	853
ABE	Abe	0.006	88.307	854
WYATT	Wyatt	0.006	88.314	855
MARQUIS	Marquis	0.006	88.32	856
LANNY	Lanny	0.006	88.326	857
KAREEM	Kareem	0.006	88.333	858
JAMAR	Jamar	0.006	88.339	859
BORIS	Boris	0.006	88.346	860
ISIAH	Isiah	0.006	88.352	861
EMILE	Emile	0.006	88.358	862
ELMO	Elmo	0.006	88.365	863
ARON	Aron	0.006	88.371	864
LEOPOLDO	Leopoldo	0.006	88.377	865
EVERETTE	Everette	0.006	88.384	866
JOSEF	Josef	0.006	88.39	867
GAIL	Gail	0.006	88.396	868
ELOY	Eloy	0.006	88.403	869
DORIAN	Dorian	0.006	88.409	870
RODRICK	Rodrick	0.006	88.415	871
REINALDO	Reinaldo	0.006	88.421	872
LUCIO	Lucio	0.006	88.427	873
JERROD	Jerrod	0.006	88.434	874
WESTON	Weston	0.006	88.44	875
HERSHEL	Hershel	0.006	88.446	876
BARTON	Barton	0.006	88.452	877
PARKER	Parker	0.006	88.458	878
LEMUEL	Lemuel	0.006	88.464	879
LAVERN	Lavern	0.006	88.47	880
BURT	Burt	0.006	88.477	881
JULES	Jules	0.006	88.483	882
GIL	Gil	0.006	88.489	883
ELISEO	Eliseo	0.006	88.495	884
AHMAD	Ahmad	0.006	88.501	885
NIGEL	Nigel	0.006	88.507	886
EFREN	Efren	0.006	88.513	887
ANTWAN	Antwan	0.006	88.519	888
ALDEN	Alden	0.006	88.525	889
MARGARITO	Margarito	0.006	88.531	890
COLEMAN	Coleman	0.006	88.537	891
REFUGIO	Refugio	0.006	88.543	892
DINO	Dino	0.006	88.549	893
OSVALDO	Osvaldo	0.006	88.555	894
LES	Les	0.006	88.56	895
DEANDRE	Deandre	0.006	88.566	896
NORMAND	Normand	0.006	88.572	897
KIETH	Kieth	0.006	88.578	898
IVORY	Ivory	0.006	88.584	899
ANDREA	Andrea	0.006	88.59	900
TREY	Trey	0.006	88.595	901
NORBERTO	Norberto	0.006	88.601	902
NAPOLEON	Napoleon	0.006	88.607	903
JEROLD	Jerold	0.006	88.613	904
FRITZ	Fritz	0.006	88.619	905
ROSENDO	Rosendo	0.006	88.624	906
MILFORD	Milford	0.006	88.63	907
SANG	Sang	0.006	88.636	908
DEON	Deon	0.006	88.641	909
CHRISTOPER	Christoper	0.006	88.647	910
ALFONZO	Alfonzo	0.006	88.653	911
LYMAN	Lyman	0.006	88.658	912
JOSIAH	Josiah	0.006	88.664	913
BRANT	Brant	0.006	88.67	914
WILTON	Wilton	0.006	88.675	915
RICO	Rico	0.006	88.681	916
JAMAAL	Jamaal	0.006	88.687	917
DEWITT	Dewitt	0.006	88.692	918
CAROL	Carol	0.006	88.698	919
BRENTON	Brenton	0.006	88.704	920
YONG	Yong	0.006	88.709	921
OLIN	Olin	0.006	88.715	922
FOSTER	Foster	0.006	88.72	923
FAUSTINO	Faustino	0.006	88.726	924
CLAUDIO	Claudio	0.006	88.731	925
JUDSON	Judson	0.006	88.737	926
GINO	Gino	0.006	88.743	927
EDGARDO	Edgardo	0.006	88.748	928
BERRY	Berry	0.006	88.754	929
ALEC	Alec	0.006	88.759	930
TANNER	Tanner	0.006	88.765	931
JARRED	Jarred	0.006	88.77	932
DONN	Donn	0.006	88.776	933
TRINIDAD	Trinidad	0.005	88.781	934
TAD	Tad	0.005	88.787	935
SHIRLEY	Shirley	0.005	88.792	936
PRINCE	Prince	0.005	88.798	937
PORFIRIO	Porfirio	0.005	88.803	938
ODIS	Odis	0.005	88.809	939
MARIA	Maria	0.005	88.814	940
LENARD	Lenard	0.005	88.82	941
CHAUNCEY	Chauncey	0.005	88.825	942
CHANG	Chang	0.005	88.831	943
TOD	Tod	0.005	88.836	944
MEL	Mel	0.005	88.842	945
MARCELO	Marcelo	0.005	88.847	946
KORY	Kory	0.005	88.853	947
AUGUSTUS	Augustus	0.005	88.858	948
KEVEN	Keven	0.005	88.864	949
HILARIO	Hilario	0.005	88.869	950
BUD	Bud	0.005	88.874	951
SAL	Sal	0.005	88.88	952
ROSARIO	Rosario	0.005	88.885	953
ORVAL	Orval	0.005	88.891	954
MAURO	Mauro	0.005	88.896	955
DANNIE	Dannie	0.005	88.901	956
ZACHARIAH	Zachariah	0.005	88.907	957
OLEN	Olen	0.005	88.912	958
ANIBAL	Anibal	0.005	88.917	959
MILO	Milo	0.005	88.923	960
JED	Jed	0.005	88.928	961
FRANCES	Frances	0.005	88.933	962
THANH	Thanh	0.005	88.939	963
DILLON	Dillon	0.005	88.944	964
AMADO	Amado	0.005	88.949	965
NEWTON	Newton	0.005	88.955	966
CONNIE	Connie	0.005	88.96	967
LENNY	Lenny	0.005	88.965	968
TORY	Tory	0.005	88.97	969
RICHIE	Richie	0.005	88.975	970
LUPE	Lupe	0.005	88.981	971
HORACIO	Horacio	0.005	88.986	972
BRICE	Brice	0.005	88.991	973
MOHAMED	Mohamed	0.005	88.996	974
DELMER	Delmer	0.005	89.001	975
DARIO	Dario	0.005	89.006	976
REYES	Reyes	0.005	89.012	977
DEE	Dee	0.005	89.017	978
MAC	Mac	0.005	89.022	979
JONAH	Jonah	0.005	89.027	980
JERROLD	Jerrold	0.005	89.032	981
ROBT	Robt	0.005	89.037	982
HANK	Hank	0.005	89.042	983
SUNG	Sung	0.005	89.047	984
RUPERT	Rupert	0.005	89.052	985
ROLLAND	Rolland	0.005	89.057	986
KENTON	Kenton	0.005	89.062	987
DAMION	Damion	0.005	89.067	988
CHI	Chi	0.005	89.072	989
ANTONE	Antone	0.005	89.077	990
WALDO	Waldo	0.005	89.082	991
FREDRIC	Fredric	0.005	89.087	992
BRADLY	Bradly	0.005	89.092	993
QUINN	Quinn	0.005	89.097	994
KIP	Kip	0.005	89.102	995
BURL	Burl	0.005	89.107	996
WALKER	Walker	0.005	89.112	997
TYREE	Tyree	0.005	89.117	998
JEFFEREY	Jefferey	0.005	89.122	999
AHMED	Ahmed	0.005	89.127	1000
WILLY	Willy	0.005	89.132	1001
STANFORD	Stanford	0.005	89.137	1002
OREN	Oren	0.005	89.142	1003
NOBLE	Noble	0.005	89.146	1004
MOSHE	Moshe	0.005	89.151	1005
MIKEL	Mikel	0.005	89.156	1006
ENOCH	Enoch	0.005	89.161	1007
BRENDON	Brendon	0.005	89.166	1008
QUINTIN	Quintin	0.005	89.171	1009
JAMISON	Jamison	0.005	89.176	1010
FLORENCIO	Florencio	0.005	89.181	1011
DARRICK	Darrick	0.005	89.185	1012
TOBIAS	Tobias	0.005	89.19	1013
MINH	Minh	0.005	89.195	1014
HASSAN	Hassan	0.005	89.2	1015
GIUSEPPE	Giuseppe	0.005	89.205	1016
DEMARCUS	Demarcus	0.005	89.21	1017
CLETUS	Cletus	0.005	89.214	1018
TYRELL	Tyrell	0.005	89.219	1019
LYNDON	Lyndon	0.005	89.224	1020
KEENAN	Keenan	0.005	89.229	1021
WERNER	Werner	0.005	89.234	1022
THEO	Theo	0.005	89.238	1023
GERALDO	Geraldo	0.005	89.243	1024
LOU	Lou	0.005	89.248	1025
COLUMBUS	Columbus	0.005	89.253	1026
CHET	Chet	0.005	89.257	1027
BERTRAM	Bertram	0.005	89.262	1028
MARKUS	Markus	0.005	89.267	1029
HUEY	Huey	0.005	89.271	1030
HILTON	Hilton	0.005	89.276	1031
DWAIN	Dwain	0.005	89.281	1032
DONTE	Donte	0.005	89.285	1033
TYRON	Tyron	0.005	89.29	1034
OMER	Omer	0.005	89.295	1035
ISAIAS	Isaias	0.005	89.299	1036
HIPOLITO	Hipolito	0.005	89.304	1037
FERMIN	Fermin	0.005	89.309	1038
CHUNG	Chung	0.005	89.313	1039
ADALBERTO	Adalberto	0.005	89.318	1040
VALENTINE	Valentine	0.005	89.323	1041
JAMEY	Jamey	0.005	89.327	1042
BO	Bo	0.005	89.332	1043
BARRETT	Barrett	0.005	89.336	1044
WHITNEY	Whitney	0.005	89.341	1045
TEODORO	Teodoro	0.005	89.345	1046
MCKINLEY	Mckinley	0.005	89.35	1047
MAXIMO	Maximo	0.005	89.355	1048
GARFIELD	Garfield	0.005	89.359	1049
SOL	Sol	0.005	89.364	1050
RALEIGH	Raleigh	0.005	89.368	1051
LAWERENCE	Lawerence	0.005	89.373	1052
ABRAM	Abram	0.005	89.377	1053
RASHAD	Rashad	0.004	89.382	1054
KING	King	0.004	89.386	1055
EMMITT	Emmitt	0.004	89.391	1056
DARON	Daron	0.004	89.395	1057
CHONG	Chong	0.004	89.4	1058
SAMUAL	Samual	0.004	89.404	1059
PARIS	Paris	0.004	89.409	1060
OTHA	Otha	0.004	89.413	1061
MIQUEL	Miquel	0.004	89.418	1062
LACY	Lacy	0.004	89.422	1063
EUSEBIO	Eusebio	0.004	89.426	1064
DONG	Dong	0.004	89.431	1065
DOMENIC	Domenic	0.004	89.435	1066
DARRON	Darron	0.004	89.44	1067
BUSTER	Buster	0.004	89.444	1068
ANTONIA	Antonia	0.004	89.449	1069
WILBER	Wilber	0.004	89.453	1070
RENATO	Renato	0.004	89.458	1071
JC	Jc	0.004	89.462	1072
HOYT	Hoyt	0.004	89.466	1073
HAYWOOD	Haywood	0.004	89.471	1074
EZEKIEL	Ezekiel	0.004	89.475	1075
CHAS	Chas	0.004	89.48	1076
FLORENTINO	Florentino	0.004	89.484	1077
ELROY	Elroy	0.004	89.489	1078
CLEMENTE	Clemente	0.004	89.493	1079
ARDEN	Arden	0.004	89.497	1080
NEVILLE	Neville	0.004	89.502	1081
KELLEY	Kelley	0.004	89.506	1082
EDISON	Edison	0.004	89.51	1083
DESHAWN	Deshawn	0.004	89.515	1084
CARROL	Carrol	0.004	89.519	1085
SHAYNE	Shayne	0.004	89.523	1086
NATHANIAL	Nathanial	0.004	89.528	1087
JORDON	Jordon	0.004	89.532	1088
DANILO	Danilo	0.004	89.536	1089
CLAUD	Claud	0.004	89.541	1090
VAL	Val	0.004	89.545	1091
SHERWOOD	Sherwood	0.004	89.549	1092
RAYMON	Raymon	0.004	89.554	1093
RAYFORD	Rayford	0.004	89.558	1094
CRISTOBAL	Cristobal	0.004	89.562	1095
AMBROSE	Ambrose	0.004	89.567	1096
TITUS	Titus	0.004	89.571	1097
HYMAN	Hyman	0.004	89.575	1098
FELTON	Felton	0.004	89.579	1099
EZEQUIEL	Ezequiel	0.004	89.584	1100
ERASMO	Erasmo	0.004	89.588	1101
STANTON	Stanton	0.004	89.592	1102
LONNY	Lonny	0.004	89.596	1103
LEN	Len	0.004	89.601	1104
IKE	Ike	0.004	89.605	1105
MILAN	Milan	0.004	89.609	1106
LINO	Lino	0.004	89.613	1107
JAROD	Jarod	0.004	89.617	1108
HERB	Herb	0.004	89.622	1109
ANDREAS	Andreas	0.004	89.626	1110
WALTON	Walton	0.004	89.63	1111
RHETT	Rhett	0.004	89.634	1112
PALMER	Palmer	0.004	89.638	1113
JUDE	Jude	0.004	89.642	1114
DOUGLASS	Douglass	0.004	89.647	1115
CORDELL	Cordell	0.004	89.651	1116
OSWALDO	Oswaldo	0.004	89.655	1117
ELLSWORTH	Ellsworth	0.004	89.659	1118
VIRGILIO	Virgilio	0.004	89.663	1119
TONEY	Toney	0.004	89.667	1120
NATHANAEL	Nathanael	0.004	89.671	1121
DEL	Del	0.004	89.675	1122
BRITT	Britt	0.004	89.679	1123
BENEDICT	Benedict	0.004	89.684	1124
MOSE	Mose	0.004	89.688	1125
HONG	Hong	0.004	89.692	1126
LEIGH	Leigh	0.004	89.696	1127
JOHNSON	Johnson	0.004	89.7	1128
ISREAL	Isreal	0.004	89.704	1129
GAYLE	Gayle	0.004	89.708	1130
GARRET	Garret	0.004	89.712	1131
FAUSTO	Fausto	0.004	89.716	1132
ASA	Asa	0.004	89.72	1133
ARLEN	Arlen	0.004	89.724	1134
ZACK	Zack	0.004	89.728	1135
WARNER	Warner	0.004	89.732	1136
MODESTO	Modesto	0.004	89.736	1137
FRANCESCO	Francesco	0.004	89.74	1138
MANUAL	Manual	0.004	89.744	1139
JAE	Jae	0.004	89.748	1140
GAYLORD	Gaylord	0.004	89.752	1141
GASTON	Gaston	0.004	89.756	1142
FILIBERTO	Filiberto	0.004	89.759	1143
DEANGELO	Deangelo	0.004	89.763	1144
MICHALE	Michale	0.004	89.767	1145
GRANVILLE	Granville	0.004	89.771	1146
WES	Wes	0.004	89.775	1147
MALIK	Malik	0.004	89.779	1148
ZACKARY	Zackary	0.004	89.783	1149
TUAN	Tuan	0.004	89.787	1150
NICKY	Nicky	0.004	89.79	1151
ELDRIDGE	Eldridge	0.004	89.794	1152
CRISTOPHER	Cristopher	0.004	89.798	1153
CORTEZ	Cortez	0.004	89.802	1154
ANTIONE	Antione	0.004	89.806	1155
MALCOM	Malcom	0.004	89.809	1156
LONG	Long	0.004	89.813	1157
KOREY	Korey	0.004	89.817	1158
JOSPEH	Jospeh	0.004	89.821	1159
COLTON	Colton	0.004	89.825	1160
WAYLON	Waylon	0.004	89.828	1161
VON	Von	0.004	89.832	1162
HOSEA	Hosea	0.004	89.836	1163
SHAD	Shad	0.004	89.84	1164
SANTO	Santo	0.004	89.843	1165
RUDOLF	Rudolf	0.004	89.847	1166
ROLF	Rolf	0.004	89.851	1167
REY	Rey	0.004	89.855	1168
RENALDO	Renaldo	0.004	89.858	1169
MARCELLUS	Marcellus	0.004	89.862	1170
LUCIUS	Lucius	0.004	89.866	1171
LESLEY	Lesley	0.004	89.87	1172
KRISTOFER	Kristofer	0.004	89.873	1173
BOYCE	Boyce	0.004	89.877	1174
BENTON	Benton	0.004	89.881	1175
MAN	Man	0.004	89.884	1176
KASEY	Kasey	0.004	89.888	1177
JEWELL	Jewell	0.004	89.892	1178
HAYDEN	Hayden	0.004	89.895	1179
HARLAND	Harland	0.004	89.899	1180
ARNOLDO	Arnoldo	0.004	89.903	1181
RUEBEN	Rueben	0.004	89.907	1182
LEANDRO	Leandro	0.004	89.91	1183
KRAIG	Kraig	0.004	89.914	1184
JERRELL	Jerrell	0.004	89.918	1185
JEROMY	Jeromy	0.004	89.921	1186
HOBERT	Hobert	0.004	89.925	1187
CEDRICK	Cedrick	0.004	89.929	1188
ARLIE	Arlie	0.004	89.932	1189
WINFORD	Winford	0.004	89.936	1190
WALLY	Wally	0.004	89.939	1191
PATRICIA	Patricia	0.004	89.943	1192
LUIGI	Luigi	0.004	89.947	1193
KENETH	Keneth	0.004	89.95	1194
JACINTO	Jacinto	0.004	89.954	1195
GRAIG	Graig	0.004	89.958	1196
FRANKLYN	Franklyn	0.004	89.961	1197
EDMUNDO	Edmundo	0.004	89.965	1198
SID	Sid	0.004	89.968	1199
PORTER	Porter	0.004	89.972	1200
LEIF	Leif	0.004	89.976	1201
LAUREN	Lauren	0.004	89.979	1202
JERAMY	Jeramy	0.004	89.983	1203
ELISHA	Elisha	0.004	89.986	1204
BUCK	Buck	0.004	89.99	1205
WILLIAN	Willian	0.004	89.994	1206
VINCENZO	Vincenzo	0.004	89.997	1207
SHON	Shon	0.004	90.001	1208
MICHAL	Michal	0.004	90.004	1209
LYNWOOD	Lynwood	0.004	90.008	1210
LINDSAY	Lindsay	0.004	90.011	1211
JEWEL	Jewel	0.004	90.015	1212
JERE	Jere	0.004	90.018	1213
HAI	Hai	0.004	90.022	1214
ELDEN	Elden	0.004	90.026	1215
DORSEY	Dorsey	0.004	90.029	1216
DARELL	Darell	0.004	90.033	1217
BRODERICK	Broderick	0.004	90.036	1218
ALONSO	Alonso	0.004	90.04	1219
