NAME	Name	freq	 cum_freq	rank
JEROME	Jerome	0.108	69.234	166
FLOYD	Floyd	0.107	69.34	167
LEO	Leo	0.106	69.446	168
ALVIN	Alvin	0.105	69.551	169
TIM	Tim	0.104	69.656	170
WESLEY	Wesley	0.104	69.76	171
GORDON	Gordon	0.104	69.864	172
DEAN	Dean	0.104	69.968	173
GREG	Greg	0.104	70.071	174
JORGE	Jorge	0.104	70.175	175
DUSTIN	Dustin	0.103	70.278	176
PEDRO	Pedro	0.103	70.381	177
DERRICK	Derrick	0.103	70.484	178
DAN	Dan	0.101	70.585	179
LEWIS	Lewis	0.099	70.684	180
ZACHARY	Zachary	0.099	70.782	181
COREY	Corey	0.098	70.88	182
HERMAN	Herman	0.097	70.977	183
MAURICE	Maurice	0.097	71.074	184
VERNON	Vernon	0.097	71.171	185
ROBERTO	Roberto	0.097	71.268	186
CLYDE	Clyde	0.095	71.363	187
GLEN	Glen	0.094	71.457	188
HECTOR	Hector	0.094	71.551	189
SHANE	Shane	0.093	71.645	190
RICARDO	Ricardo	0.093	71.738	191
SAM	Sam	0.092	71.83	192
RICK	Rick	0.091	71.921	193
LESTER	Lester	0.091	72.011	194
BRENT	Brent	0.09	72.102	195
RAMON	Ramon	0.09	72.192	196
CHARLIE	Charlie	0.09	72.281	197
TYLER	Tyler	0.089	72.371	198
GILBERT	Gilbert	0.089	72.46	199
GENE	Gene	0.087	72.547	200
MARC	Marc	0.087	72.634	201
REGINALD	Reginald	0.084	72.717	202
RUBEN	Ruben	0.082	72.8	203
BRETT	Brett	0.082	72.882	204
ANGEL	Angel	0.082	72.964	205
NATHANIEL	Nathaniel	0.081	73.045	206
RAFAEL	Rafael	0.081	73.126	207
LESLIE	Leslie	0.081	73.207	208
EDGAR	Edgar	0.08	73.287	209
MILTON	Milton	0.08	73.367	210
RAUL	Raul	0.079	73.446	211
BEN	Ben	0.078	73.524	212
CHESTER	Chester	0.078	73.602	213
CECIL	Cecil	0.078	73.68	214
DUANE	Duane	0.077	73.757	215
FRANKLIN	Franklin	0.077	73.834	216
ANDRE	Andre	0.076	73.91	217
ELMER	Elmer	0.074	73.984	218
BRAD	Brad	0.073	74.057	219
GABRIEL	Gabriel	0.073	74.13	220
RON	Ron	0.072	74.202	221
MITCHELL	Mitchell	0.072	74.274	222
ROLAND	Roland	0.072	74.347	223
ARNOLD	Arnold	0.072	74.419	224
HARVEY	Harvey	0.072	74.491	225
JARED	Jared	0.071	74.562	226
ADRIAN	Adrian	0.069	74.631	227
KARL	Karl	0.069	74.699	228
CORY	Cory	0.068	74.767	229
CLAUDE	Claude	0.068	74.835	230
ERIK	Erik	0.068	74.903	231
DARRYL	Darryl	0.067	74.97	232
JAMIE	Jamie	0.066	75.037	233
NEIL	Neil	0.066	75.102	234
JESSIE	Jessie	0.065	75.168	235
CHRISTIAN	Christian	0.065	75.233	236
JAVIER	Javier	0.065	75.297	237
FERNANDO	Fernando	0.065	75.362	238
CLINTON	Clinton	0.065	75.427	239
TED	Ted	0.064	75.491	240
MATHEW	Mathew	0.064	75.555	241
TYRONE	Tyrone	0.064	75.619	242
DARREN	Darren	0.064	75.683	243
LONNIE	Lonnie	0.064	75.746	244
LANCE	Lance	0.063	75.81	245
CODY	Cody	0.063	75.873	246
JULIO	Julio	0.063	75.936	247
KELLY	Kelly	0.063	75.998	248
KURT	Kurt	0.062	76.061	249
ALLAN	Allan	0.061	76.122	250
NELSON	Nelson	0.061	76.182	251
GUY	Guy	0.06	76.243	252
CLAYTON	Clayton	0.06	76.303	253
HUGH	Hugh	0.06	76.363	254
MAX	Max	0.059	76.421	255
DWAYNE	Dwayne	0.059	76.48	256
DWIGHT	Dwight	0.058	76.538	257
ARMANDO	Armando	0.058	76.596	258
FELIX	Felix	0.058	76.654	259
JIMMIE	Jimmie	0.058	76.711	260
EVERETT	Everett	0.057	76.768	261
JORDAN	Jordan	0.056	76.824	262
IAN	Ian	0.056	76.88	263
WALLACE	Wallace	0.056	76.936	264
KEN	Ken	0.055	76.991	265
BOB	Bob	0.055	77.047	266
JAIME	Jaime	0.055	77.102	267
CASEY	Casey	0.054	77.156	268
ALFREDO	Alfredo	0.054	77.21	269
ALBERTO	Alberto	0.053	77.263	270
DAVE	Dave	0.053	77.316	271
IVAN	Ivan	0.053	77.369	272
JOHNNIE	Johnnie	0.052	77.421	273
SIDNEY	Sidney	0.052	77.474	274
BYRON	Byron	0.052	77.526	275
JULIAN	Julian	0.052	77.578	276
ISAAC	Isaac	0.051	77.629	277
MORRIS	Morris	0.051	77.68	278
CLIFTON	Clifton	0.05	77.73	279
WILLARD	Willard	0.05	77.78	280
DARYL	Daryl	0.05	77.831	281
ROSS	Ross	0.05	77.88	282
VIRGIL	Virgil	0.049	77.929	283
ANDY	Andy	0.049	77.979	284
MARSHALL	Marshall	0.049	78.028	285
SALVADOR	Salvador	0.049	78.077	286
PERRY	Perry	0.049	78.126	287
KIRK	Kirk	0.049	78.175	288
SERGIO	Sergio	0.049	78.224	289
MARION	Marion	0.048	78.272	290
TRACY	Tracy	0.048	78.32	291
SETH	Seth	0.048	78.368	292
KENT	Kent	0.048	78.416	293
TERRANCE	Terrance	0.048	78.464	294
RENE	Rene	0.048	78.512	295
EDUARDO	Eduardo	0.047	78.559	296
TERRENCE	Terrence	0.047	78.606	297
ENRIQUE	Enrique	0.046	78.652	298
FREDDIE	Freddie	0.046	78.698	299
WADE	Wade	0.045	78.743	300
AUSTIN	Austin	0.044	78.786	301
STUART	Stuart	0.044	78.83	302
FREDRICK	Fredrick	0.043	78.873	303
ARTURO	Arturo	0.043	78.917	304
ALEJANDRO	Alejandro	0.043	78.96	305
JACKIE	Jackie	0.043	79.002	306
JOEY	Joey	0.043	79.045	307
NICK	Nick	0.043	79.088	308
LUTHER	Luther	0.043	79.13	309
WENDELL	Wendell	0.042	79.172	310
JEREMIAH	Jeremiah	0.042	79.215	311
