Occupation,occupation,Total_employed,Women,Black,Asian,Hispanic_latino
Marine engineers and naval architects,marine engineers and naval architects,11,-,-,-,-
Materials engineers,materials engineers,40,-,-,-,-
Mechanical engineers,mechanical engineers,323,8.3,6.2,11.2,5.6
"Mining and geological engineers, including mining safety engineers","mining and geological engineers, including mining safety engineers",15,-,-,-,-
Nuclear engineers,nuclear engineers,6,-,-,-,-
Petroleum engineers,petroleum engineers,44,-,-,-,-
"Engineers, all other","engineers, all other",440,13.6,7.6,14.7,5.9
Drafters,drafters,133,21.2,3.7,1.1,15
"Engineering technicians, except drafters","engineering technicians, except drafters",403,20.3,10,10.7,9.7
Surveying and mapping technicians,surveying and mapping technicians,65,5.2,3.5,4.1,7.2
"Life, physical, and social science occupations","life, physical, and social science occupations",1404,46.6,6.1,14.5,7
Agricultural and food scientists,agricultural and food scientists,25,-,-,-,-
Biological scientists,biological scientists,86,42.6,6.6,10.8,8.2
Conservation scientists and foresters,conservation scientists and foresters,25,-,-,-,-
Medical scientists,medical scientists,157,54.9,5.9,35.1,5.4
"Life scientists, all other","life scientists, all other",1,-,-,-,-
Astronomers and physicists,astronomers and physicists,19,-,-,-,-
Atmospheric and space scientists,atmospheric and space scientists,12,-,-,-,-
Chemists and materials scientists,chemists and materials scientists,99,36.1,8.4,13.5,5.9
Environmental scientists and geoscientists,environmental scientists and geoscientists,92,27.5,1.3,6.2,7.3
"Physical scientists, all other","physical scientists, all other",232,41.4,4.4,23.9,6.2
Economists,economists,34,-,-,-,-
Survey researchers,survey researchers,0,-,-,-,-
Psychologists,psychologists,193,70.3,4.1,2.5,5.8
Sociologists,sociologists,1,-,-,-,-
Urban and regional planners,urban and regional planners,25,-,-,-,-
Miscellaneous social scientists and related workers,miscellaneous social scientists and related workers,45,-,-,-,-
Agricultural and food science technicians,agricultural and food science technicians,25,-,-,-,-
Biological technicians,biological technicians,18,-,-,-,-
Chemical technicians,chemical technicians,82,40,11.7,7.5,9.7
Geological and petroleum technicians,geological and petroleum technicians,21,-,-,-,-
Nuclear technicians,nuclear technicians,3,-,-,-,-
Social science research assistants,social science research assistants,4,-,-,-,-
"Miscellaneous life, physical, and social science technicians","miscellaneous life, physical, and social science technicians",203,53.9,7.7,12.5,6.6
