Occupation,occupation,Total_employed,Women,Black,Asian,Hispanic_latino
"Cement masons, concrete finishers, and terrazzo workers","cement masons, concrete finishers, and terrazzo workers",54,0.2,12.1,0,49.2
Construction laborers,construction laborers,1649,2.9,8.1,1.9,45.5
"Paving, surfacing, and tamping equipment operators","paving, surfacing, and tamping equipment operators",12,-,-,-,-
Pile-driver operators,pile-driver operators,2,-,-,-,-
Operating engineers and other construction equipment operators,operating engineers and other construction equipment operators,357,1.9,7.5,0.1,21.1
"Drywall installers, ceiling tile installers, and tapers","drywall installers, ceiling tile installers, and tapers",151,1.6,5.5,0.2,61.8
Electricians,electricians,773,2.3,8.8,1.9,19.3
Glaziers,glaziers,47,-,-,-,-
Insulation workers,insulation workers,49,-,-,-,-
"Painters, construction and maintenance","painters, construction and maintenance",572,5.7,5.6,1.8,49.3
Paperhangers,paperhangers,1,-,-,-,-
"Pipelayers, plumbers, pipefitters, and steamfitters","pipelayers, plumbers, pipefitters, and steamfitters",573,0.7,6.8,1.1,25
Plasterers and stucco masons,plasterers and stucco masons,28,-,-,-,-
Reinforcing iron and rebar workers,reinforcing iron and rebar workers,10,-,-,-,-
Roofers,roofers,221,2.3,6,1.4,51.2
Sheet metal workers,sheet metal workers,122,4.5,2.4,0.7,15.7
Structural iron and steel workers,structural iron and steel workers,58,2.2,6.4,2.8,19.8
Solar photovoltaic installers,solar photovoltaic installers,11,-,-,-,-
"Helpers, construction trades","helpers, construction trades",52,1.3,7,2.8,44.7
Construction and building inspectors,construction and building inspectors,90,9.9,9.5,1,8.2
Elevator installers and repairers,elevator installers and repairers,30,-,-,-,-
Fence erectors,fence erectors,34,-,-,-,-
Hazardous materials removal workers,hazardous materials removal workers,42,-,-,-,-
Highway maintenance workers,highway maintenance workers,103,2,13.4,0.9,16.5
Rail-track laying and maintenance equipment operators,rail-track laying and maintenance equipment operators,11,-,-,-,-
Septic tank servicers and sewer pipe cleaners,septic tank servicers and sewer pipe cleaners,12,-,-,-,-
Miscellaneous construction and related workers,miscellaneous construction and related workers,32,-,-,-,-
"Derrick, rotary drill, and service unit operators, oil, gas, and mining","derrick, rotary drill, and service unit operators, oil, gas, and mining",34,-,-,-,-
"Earth drillers, except oil and gas","earth drillers, except oil and gas",29,-,-,-,-
"Explosives workers, ordnance handling experts, and blasters","explosives workers, ordnance handling experts, and blasters",9,-,-,-,-
Mining machine operators,mining machine operators,67,2.5,4.1,0,16.3
"Roof bolters, mining","roof bolters, mining",2,-,-,-,-
"Roustabouts, oil and gas","roustabouts, oil and gas",9,-,-,-,-
Helpers--extraction workers,helpers--extraction workers,4,-,-,-,-
Other extraction workers,other extraction workers,64,3.8,3.1,0.5,26.8
"Installation, maintenance, and repair occupations","installation, maintenance, and repair occupations",5008,3.5,8.3,3.1,18.9
"First-line supervisors of mechanics, installers, and repairers","first-line supervisors of mechanics, installers, and repairers",262,6.1,8.5,3.3,11.4
"Computer, automated teller, and office machine repairers","computer, automated teller, and office machine repairers",241,13.2,18.4,8.2,9.8
Radio and telecommunications equipment installers and repairers,radio and telecommunications equipment installers and repairers,158,8.5,11.7,8.2,11.8
Avionics technicians,avionics technicians,5,-,-,-,-
"Electric motor, power tool, and related repairers","electric motor, power tool, and related repairers",23,-,-,-,-
"Electrical and electronics installers and repairers, transportation equipment","electrical and electronics installers and repairers, transportation equipment",1,-,-,-,-
"Electrical and electronics repairers, industrial and utility","electrical and electronics repairers, industrial and utility",20,-,-,-,-
"Electronic equipment installers and repairers, motor vehicles","electronic equipment installers and repairers, motor vehicles",18,-,-,-,-
Electronic home entertainment equipment installers and repairers,electronic home entertainment equipment installers and repairers,38,-,-,-,-
Security and fire alarm systems installers,security and fire alarm systems installers,74,3.8,6,1,23.1
Aircraft mechanics and service technicians,aircraft mechanics and service technicians,140,5.2,8.3,3.1,13.6
Automotive body and related repairers,automotive body and related repairers,154,0.6,5.4,0.6,22.9
Automotive glass installers and repairers,automotive glass installers and repairers,22,-,-,-,-
Automotive service technicians and mechanics,automotive service technicians and mechanics,924,1.5,8.2,4,25.7
Bus and truck mechanics and diesel engine specialists,bus and truck mechanics and diesel engine specialists,345,0.1,7.5,2.6,15.8
Heavy vehicle and mobile equipment service technicians and mechanics,heavy vehicle and mobile equipment service technicians and mechanics,233,0,4.8,1.5,14.3
Small engine mechanics,small engine mechanics,54,3.1,0,1.3,10.4
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",81,1.9,4.5,1,24.4
Control and valve installers and repairers,control and valve installers and repairers,29,-,-,-,-
"Heating, air conditioning, and refrigeration mechanics and installers","heating, air conditioning, and refrigeration mechanics and installers",408,1.7,7.6,2.2,21.6
Home appliance repairers,home appliance repairers,53,3.8,3.7,6,26.8
Industrial and refractory machinery mechanics,industrial and refractory machinery mechanics,425,3.6,6.6,1.5,13.6
"Maintenance and repair workers, general","maintenance and repair workers, general",527,3.2,11.2,2.4,21.9
"Maintenance workers, machinery","maintenance workers, machinery",29,-,-,-,-
Millwrights,millwrights,57,3.3,5.6,0.5,8.4
Electrical power-line installers and repairers,electrical power-line installers and repairers,119,1.2,5.2,1.7,11.1
Telecommunications line installers and repairers,telecommunications line installers and repairers,177,6,12.9,3.1,19.7
Precision instrument and equipment repairers,precision instrument and equipment repairers,66,4.8,6.3,3.3,10.5
Wind turbine service technicians,wind turbine service technicians,4,-,-,-,-
"Coin, vending, and amusement machine servicers and repairers","coin, vending, and amusement machine servicers and repairers",48,-,-,-,-
Commercial divers,commercial divers,1,-,-,-,-
Locksmiths and safe repairers,locksmiths and safe repairers,21,-,-,-,-
Manufactured building and mobile home installers,manufactured building and mobile home installers,5,-,-,-,-
Riggers,riggers,10,-,-,-,-
Signal and track switch repairers,signal and track switch repairers,8,-,-,-,-
"Helpers--installation, maintenance, and repair workers","helpers--installation, maintenance, and repair workers",28,-,-,-,-
"Other installation, maintenance, and repair workers","other installation, maintenance, and repair workers",200,5.8,5.1,2.1,25.3
,,,,,,
"Production, transportation, and material moving occupations","production, transportation, and material moving occupations",17647,21.8,15.3,4.7,22.3
Production occupations,production occupations,8522,28.8,12.5,6.2,22.3
First-line supervisors of production and operating workers,first-line supervisors of production and operating workers,817,18.6,8,4.6,16.3
"Aircraft structure, surfaces, rigging, and systems assemblers","aircraft structure, surfaces, rigging, and systems assemblers",14,-,-,-,-
"Electrical, electronics, and electromechanical assemblers","electrical, electronics, and electromechanical assemblers",133,51.4,16.9,22,22.5
Engine and other machine assemblers,engine and other machine assemblers,11,-,-,-,-
Structural metal fabricators and fitters,structural metal fabricators and fitters,32,-,-,-,-
Miscellaneous assemblers and fabricators,miscellaneous assemblers and fabricators,1026,38.6,16.1,6.9,22.2
Bakers,bakers,231,60.8,15.4,9.6,23.5
"Butchers and other meat, poultry, and fish processing workers","butchers and other meat, poultry, and fish processing workers",302,25.7,22.4,8,35.4
"Food and tobacco roasting, baking, and drying machine operators and tenders","food and tobacco roasting, baking, and drying machine operators and tenders",14,-,-,-,-
Food batchmakers,food batchmakers,101,72.3,14.1,7,29.6
Food cooking machine operators and tenders,food cooking machine operators and tenders,13,-,-,-,-
"Food processing workers, all other","food processing workers, all other",135,34.2,16.6,7.6,35.1
Computer control programmers and operators,computer control programmers and operators,88,3.9,8.4,3.7,9.8
"Extruding and drawing machine setters, operators, and tenders, metal and plastic","extruding and drawing machine setters, operators, and tenders, metal and plastic",9,-,-,-,-
"Forging machine setters, operators, and tenders, metal and plastic","forging machine setters, operators, and tenders, metal and plastic",8,-,-,-,-
"Rolling machine setters, operators, and tenders, metal and plastic","rolling machine setters, operators, and tenders, metal and plastic",15,-,-,-,-
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","cutting, punching, and press machine setters, operators, and tenders, metal and plastic",82,21.6,20.1,1.4,14.5
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic","drilling and boring machine tool setters, operators, and tenders, metal and plastic",5,-,-,-,-
"Grinding, lapping, polishing, and buffing machine tool setters, operators,","grinding, lapping, polishing, and buffing machine tool setters, operators,",51,10.3,11.5,0.2,29
"and tenders, metal and plastic","and tenders, metal and plastic",,,,,
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic","lathe and turning machine tool setters, operators, and tenders, metal and plastic",11,-,-,-,-
"Milling and planing machine setters, operators, and tenders, metal and plastic","milling and planing machine setters, operators, and tenders, metal and plastic",0,-,-,-,-
Machinists,machinists,363,6.7,3.1,6.1,13.8
"Metal furnace operators, tenders, pourers, and casters","metal furnace operators, tenders, pourers, and casters",30,-,-,-,-
"Model makers and patternmakers, metal and plastic","model makers and patternmakers, metal and plastic",5,-,-,-,-
"Molders and molding machine setters, operators, and tenders, metal and plastic","molders and molding machine setters, operators, and tenders, metal and plastic",46,-,-,-,-
"Multiple machine tool setters, operators, and tenders, metal and plastic","multiple machine tool setters, operators, and tenders, metal and plastic",1,-,-,-,-
Tool and die makers,tool and die makers,47,-,-,-,-
"Welding, soldering, and brazing workers","welding, soldering, and brazing workers",615,4.2,7.1,3.3,23.1
"Heat treating equipment setters, operators, and tenders, metal and plastic","heat treating equipment setters, operators, and tenders, metal and plastic",5,-,-,-,-
"Layout workers, metal and plastic","layout workers, metal and plastic",5,-,-,-,-
"Plating and coating machine setters, operators, and tenders, metal and plastic","plating and coating machine setters, operators, and tenders, metal and plastic",23,-,-,-,-
"Tool grinders, filers, and sharpeners","tool grinders, filers, and sharpeners",6,-,-,-,-
"Metal workers and plastic workers, all other","metal workers and plastic workers, all other",376,22.5,17.6,6.3,22.6
Prepress technicians and workers,prepress technicians and workers,22,-,-,-,-
Printing press operators,printing press operators,180,20,9,3.6,22.7
Print binding and finishing workers,print binding and finishing workers,20,-,-,-,-
Laundry and dry-cleaning workers,laundry and dry-cleaning workers,192,60.8,17.7,10.8,31.8
"Pressers, textile, garment, and related materials","pressers, textile, garment, and related materials",34,-,-,-,-
Sewing machine operators,sewing machine operators,196,74.8,9.7,12.4,41.8
Shoe and leather workers and repairers,shoe and leather workers and repairers,7,-,-,-,-
Shoe machine operators and tenders,shoe machine operators and tenders,2,-,-,-,-
"Tailors, dressmakers, and sewers","tailors, dressmakers, and sewers",83,82.2,5.3,17.1,22.2
Textile bleaching and dyeing machine operators and tenders,textile bleaching and dyeing machine operators and tenders,3,-,-,-,-
"Textile cutting machine setters, operators, and tenders","textile cutting machine setters, operators, and tenders",9,-,-,-,-
"Textile knitting and weaving machine setters, operators, and tenders","textile knitting and weaving machine setters, operators, and tenders",9,-,-,-,-
"Textile winding, twisting, and drawing out machine setters, operators, and tenders","textile winding, twisting, and drawing out machine setters, operators, and tenders",9,-,-,-,-
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers","extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,-,-,-,-
Fabric and apparel patternmakers,fabric and apparel patternmakers,4,-,-,-,-
Upholsterers,upholsterers,40,-,-,-,-
"Textile, apparel, and furnishings workers, all other","textile, apparel, and furnishings workers, all other",16,-,-,-,-
Cabinetmakers and bench carpenters,cabinetmakers and bench carpenters,60,7.9,4.3,1.2,20.5
Furniture finishers,furniture finishers,15,-,-,-,-
"Model makers and patternmakers, wood","model makers and patternmakers, wood",1,-,-,-,-
"Sawing machine setters, operators, and tenders, wood","sawing machine setters, operators, and tenders, wood",29,-,-,-,-
"Woodworking machine setters, operators, and tenders, except sawing","woodworking machine setters, operators, and tenders, except sawing",24,-,-,-,-
"Woodworkers, all other","woodworkers, all other",31,-,-,-,-
"Power plant operators, distributors, and dispatchers","power plant operators, distributors, and dispatchers",33,-,-,-,-
Stationary engineers and boiler operators,stationary engineers and boiler operators,81,3.4,9.4,5.2,10.2
Water and wastewater treatment plant and system operators,water and wastewater treatment plant and system operators,89,4.4,7.1,1.5,6.5
Miscellaneous plant and system operators,miscellaneous plant and system operators,36,-,-,-,-
"Chemical processing machine setters, operators, and tenders","chemical processing machine setters, operators, and tenders",63,13,4.3,0.4,10.6
"Crushing, grinding, polishing, mixing, and blending workers","crushing, grinding, polishing, mixing, and blending workers",86,11,10.5,3.1,37.2
Cutting workers,cutting workers,64,16.7,13.4,2.6,24.2
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","extruding, forming, pressing, and compacting machine setters, operators, and tenders",28,-,-,-,-
"Furnace, kiln, oven, drier, and kettle operators and tenders","furnace, kiln, oven, drier, and kettle operators and tenders",7,-,-,-,-
"Inspectors, testers, sorters, samplers, and weighers","inspectors, testers, sorters, samplers, and weighers",752,37.3,12.5,6.9,17.7
Jewelers and precious stone and metal workers,jewelers and precious stone and metal workers,44,-,-,-,-
"Medical, dental, and ophthalmic laboratory technicians","medical, dental, and ophthalmic laboratory technicians",110,48.6,7.8,13.4,19.1
Packaging and filling machine operators and tenders,packaging and filling machine operators and tenders,250,49.9,20.4,7.5,36.7
Painting workers,painting workers,151,12.9,14.2,5.2,23
Photographic process workers and processing machine operators,photographic process workers and processing machine operators,33,-,-,-,-
Semiconductor processors,semiconductor processors,1,-,-,-,-
Adhesive bonding machine operators and tenders,adhesive bonding machine operators and tenders,11,-,-,-,-
"Cleaning, washing, and metal pickling equipment operators and tenders","cleaning, washing, and metal pickling equipment operators and tenders",4,-,-,-,-
Cooling and freezing equipment operators and tenders,cooling and freezing equipment operators and tenders,4,-,-,-,-
Etchers and engravers,etchers and engravers,19,-,-,-,-
"Molders, shapers, and casters, except metal and plastic","molders, shapers, and casters, except metal and plastic",27,-,-,-,-
"Paper goods machine setters, operators, and tenders","paper goods machine setters, operators, and tenders",30,-,-,-,-
Tire builders,tire builders,10,-,-,-,-
Helpers--production workers,helpers--production workers,40,-,-,-,-
"Production workers, all other","production workers, all other",944,25.5,14.4,4.9,24.9
Transportation and material moving occupations,transportation and material moving occupations,9125,15.3,17.8,3.4,22.4
Supervisors of transportation and material moving workers,supervisors of transportation and material moving workers,205,18.1,15,1.6,20.6
Aircraft pilots and flight engineers,aircraft pilots and flight engineers,140,9.4,2.6,0.7,5.7
Air traffic controllers and airfield operations specialists,air traffic controllers and airfield operations specialists,30,-,-,-,-
Flight attendants,flight attendants,86,74.9,12,4.5,9.8
"Ambulance drivers and attendants, except emergency medical technicians","ambulance drivers and attendants, except emergency medical technicians",19,-,-,-,-
Bus drivers,bus drivers,550,47.1,28,2.7,14.3
Driver/sales workers and truck drivers,driver/sales workers and truck drivers,3469,5.1,15.1,2.7,21.5
Taxi drivers and chauffeurs,taxi drivers and chauffeurs,446,14.6,27,15.1,17
"Motor vehicle operators, all other","motor vehicle operators, all other",51,9.4,14.2,5.5,21.5
Locomotive engineers and operators,locomotive engineers and operators,50,3.5,21.3,1.4,8.2
"Railroad brake, signal, and switch operators","railroad brake, signal, and switch operators",6,-,-,-,-
Railroad conductors and yardmasters,railroad conductors and yardmasters,52,7.7,18.6,1.7,2.1
"Subway, streetcar, and other rail transportation workers","subway, streetcar, and other rail transportation workers",15,-,-,-,-
Sailors and marine oilers,sailors and marine oilers,11,-,-,-,-
Ship and boat captains and operators,ship and boat captains and operators,35,-,-,-,-
Ship engineers,ship engineers,6,-,-,-,-
Bridge and lock tenders,bridge and lock tenders,5,-,-,-,-
Parking lot attendants,parking lot attendants,91,10,32.1,5.3,26.5
Automotive and watercraft service attendants,automotive and watercraft service attendants,99,11,8.2,3.8,12.7
Transportation inspectors,transportation inspectors,29,-,-,-,-
"Transportation attendants, except flight attendants","transportation attendants, except flight attendants",22,-,-,-,-
Other transportation workers,other transportation workers,43,-,-,-,-
Conveyor operators and tenders,conveyor operators and tenders,7,-,-,-,-
Crane and tower operators,crane and tower operators,76,3.4,9.1,0.2,10.3
"Dredge, excavating, and loading machine operators","dredge, excavating, and loading machine operators",35,-,-,-,-
Hoist and winch operators,hoist and winch operators,6,-,-,-,-
Industrial truck and tractor operators,industrial truck and tractor operators,589,7.1,21.6,2.3,25.9
Cleaners of vehicles and equipment,cleaners of vehicles and equipment,338,11.1,12.3,1.4,39.4
"Laborers and freight, stock, and material movers, hand","laborers and freight, stock, and material movers, hand",1908,17.6,19,2.9,24.1
Machine feeders and offbearers,machine feeders and offbearers,33,-,-,-,-
"Packers and packagers, hand","packers and packagers, hand",505,51.9,19,5.6,37.5
Pumping station operators,pumping station operators,23,-,-,-,-
Refuse and recyclable material collectors,refuse and recyclable material collectors,97,10.4,19.1,2.1,30.8
Mine shuttle car operators,mine shuttle car operators,1,-,-,-,-
"Tank car, truck, and ship loaders","tank car, truck, and ship loaders",5,-,-,-,-
"Material moving workers, all other","material moving workers, all other",43,-,-,-,-
"NOTE: Estimates for the above race groups (white, black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).","note: estimates for the above race groups (white, black or african american, and asian) do not sum to totals because data are not presented for all races. persons whose ethnicity is identified as hispanic or latino may be of any race. updated population controls are introduced annually with the release of january data. dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,
,,,,,,
,,,,,,
,,,,,,
"Last Modified Date: February 10, 2016","last modified date: february 10, 2016",,,,,
,,,,,,
Recommend this page using:,recommend this page using:,,,,,
share on facebookFacebook,share on facebookfacebook,,,,,
share on twitterTwitter,share on twittertwitter,,,,,
share on linkedinLinkedIn,share on linkedinlinkedin,,,,,
